player_1,player_2,player_3,player_4,winner
ad,10d,6d,9d,player_1
ac,qc,jc,kc,player_1
kd,5d,4d,8d,player_1
qd,2d,2h,3h,player_1
jd,4h,3s,5s,player_1
10s,qs,3c,as,player_4
10c,6c,7c,9c,player_1
9h,8h,ah,jh,player_3
7h,6h,kh,6s,player_3
7d,4s,4c,7s,player_1
3d,5h,5c,8c,player_1
2s,js,10h,ks,player_4
2c,8s,qh,9s,player_1
as,qs,ks,9s,player_1
kd,ad,10d,8d,player_2
qd,jd,7d,4d,player_1
qh,ah,10h,8h,player_2
jh,kh,6h,7h,player_2
10s,8s,js,2c,player_3
9h,5h,2h,4h,player_1
9c,10c,kc,ac,player_4
5c,2d,jc,qc,player_4
5s,7s,2s,3h,player_2
4s,6s,4c,3c,player_2
3s,5d,6c,7c,player_1
3d,9d,6d,8c,player_2
kc,qc,ac,8c,player_3
qs,as,10s,ks,player_2
9h,qh,kh,ah,player_4
9c,10c,jc,2h,player_3
9s,js,8s,6s,player_2
7c,5c,2s,3h,player_1
7s,3s,5d,5s,player_1
6c,4c,5h,4s,player_1
4d,ad,kd,qd,player_2
4h,jh,7h,10h,player_2
3c,2d,7d,6h,player_1
3d,6d,jd,9d,player_3
2c,8h,10d,8d,player_1
ad,8d,jd,kd,player_1
kh,8h,ah,qh,player_3
qc,9c,kc,ac,player_4
qd,3d,10d,9d,player_1
jh,6h,10h,2c,player_1
10c,8c,2d,jc,player_4
9h,4h,7h,5s,player_1
9s,ks,as,qs,player_3
7d,3c,4d,6d,player_1
5d,4c,3h,6c,player_1
3s,7s,10s,js,player_4
2s,5c,4s,8s,player_4
2h,7c,5h,6s,player_3
ah,kh,10h,5h,player_1
qd,kd,5d,ad,player_4
qs,10s,ks,as,player_4
jh,qh,9h,2h,player_2
jd,10d,4d,9d,player_1
9s,8s,js,7s,player_3
9c,kc,qc,ac,player_4
8h,6h,7h,3c,player_1
7c,10c,6c,jc,player_4
3s,2d,5s,6s,player_4
3h,4h,3d,4c,player_2
2s,8d,4s,6d,player_3
2c,8c,5c,7d,player_2
ac,6c,jc,7c,player_1
kh,ah,jh,10h,player_2
kc,4c,5c,2h,player_1
qd,kd,ad,10d,player_3
qs,ks,10s,as,player_4
qh,8h,4h,9h,player_1
qc,3d,3c,2d,player_1
10c,5d,2c,4d,player_1
9c,5h,4s,5s,player_1
8c,7d,6d,6s,player_1
3s,js,8s,6h,player_2
3h,9s,7s,7h,player_4
2s,jd,8d,9d,player_1
ah,qh,7h,jh,player_1
ks,as,js,qs,player_2
kh,9h,4h,10h,player_1
qc,9c,ac,8c,player_3
10d,qd,ad,jd,player_3
10c,6c,kc,4c,player_3
8h,6h,2h,3h,player_1
7c,2s,jc,3c,player_3
7d,9d,kd,3d,player_3
6s,10s,9s,7s,player_2
5c,4d,3s,2c,player_1
5s,8s,6d,4s,player_2
5d,5h,8d,2d,player_3
ad,kd,9d,qd,player_1
jd,6d,8d,10d,player_1
js,as,ks,5s,player_2
10c,ac,4c,jc,player_2
8s,qs,7s,4s,player_2
7d,5d,2d,3d,player_1
6c,kc,2c,9c,player_2
6s,10s,7h,2s,player_2
6h,5h,kh,ah,player_4
4d,3s,8h,4h,player_1
3c,qc,9h,8c,player_2
3h,5c,qh,jh,player_3
2h,9s,10h,7c,player_3
kd,qd,10d,ad,player_4
qc,ac,jc,kc,player_2
jh,kh,10h,ah,player_4
9d,6d,3d,jd,player_4
9h,6h,7h,qh,player_4
8d,4d,2c,7d,player_1
8h,2d,5h,3h,player_1
7s,ks,as,qs,player_3
7c,10c,9c,3c,player_2
6c,4c,8c,2h,player_3
5d,4s,5c,2s,player_1
4h,5s,8s,6s,player_1
3s,10s,9s,js,player_4
ac,jc,kc,qc,player_1
ad,kd,6d,qd,player_1
ah,7h,qh,kh,player_1
ks,9s,as,3s,player_3
10s,8s,qs,2s,player_3
10h,4h,jh,8h,player_3
9h,4d,2h,6h,player_1
9d,7d,3d,jd,player_4
7c,9c,10c,3h,player_3
5c,6c,8c,5d,player_3
4c,5s,3c,5h,player_1
4s,7s,js,8d,player_3
2d,6s,2c,10d,player_4
ac,kc,qc,jc,player_1
ks,7s,qs,as,player_4
js,2s,10s,9s,player_1
jh,9h,qh,ah,player_4
10h,7h,6h,kh,player_4
9d,ad,8d,qd,player_2
8c,9c,10c,4c,player_3
8h,2c,2h,4h,player_1
7d,kd,6d,10d,player_2
6s,3d,8s,4s,player_3
5c,6c,7c,3h,player_3
5h,5d,2d,3s,player_1
3c,jd,5s,4d,player_1
ad,10d,qd,4d,player_1
ah,qh,8h,jh,player_1
ks,10s,as,8s,player_3
kd,6d,jd,2s,player_1
kh,5h,6h,10h,player_1
js,3d,qs,7s,player_3
9s,3c,3s,6s,player_1
7c,kc,qc,ac,player_4
7h,3h,2d,9h,player_4
4s,5c,6c,5s,player_4
4c,10c,7d,jc,player_4
2c,8c,8d,9c,player_4
2h,5d,9d,4h,player_4
ac,kc,7c,qc,player_1
ah,9h,7h,qh,player_1
kh,3h,6h,jh,player_1
js,6s,ks,as,player_4
10d,ad,5d,qd,player_2
10s,2h,qs,8s,player_3
9c,8c,5c,jc,player_4
6c,2d,3c,10c,player_4
5h,7d,2c,10h,player_4
4c,8d,2s,3d,player_1
4d,kd,4s,6d,player_2
4h,9d,5s,8h,player_4
3s,jd,9s,7s,player_3
kh,qh,8h,ah,player_4
qd,2c,ad,kd,player_3
qc,ac,kc,4c,player_2
qs,js,as,4s,player_3
10d,2h,6d,jd,player_4
9c,8c,jc,2d,player_3
9d,5s,5d,8d,player_1
7d,6s,3d,4d,player_1
7s,10s,ks,2s,player_3
7h,10h,5h,jh,player_4
6h,7c,5c,9h,player_4
3s,9s,6c,3h,player_2
3c,8s,10c,4h,player_3
as,9s,js,ks,player_1
kd,8d,ad,qd,player_3
qs,8s,10s,3s,player_1
10c,ac,9c,kc,player_2
9h,8h,kh,ah,player_4
7c,qc,8c,jc,player_2
7d,5d,10d,jd,player_4
6d,3d,9d,2h,player_3
5h,7h,3c,qh,player_4
4s,5s,7s,4c,player_3
3h,6h,4d,jh,player_4
2c,6c,5c,4h,player_2
2s,2d,6s,10h,player_3
as,qs,ks,10s,player_1
qd,7d,ad,jd,player_3
qc,kc,ac,10c,player_3
js,8s,9s,6s,player_1
9d,4d,kd,10d,player_3
7h,kh,ah,jh,player_3
7c,9c,jc,5c,player_3
4h,qh,6h,5h,player_2
4s,7s,3s,5s,player_2
3c,2d,8c,4c,player_3
3d,8h,5d,8d,player_4
2s,9h,2c,3h,player_1
2h,10h,6c,6d,player_2
kh,8h,ah,10h,player_3
qc,9c,kc,ac,player_4
qh,7h,3h,9h,player_1
qs,ks,as,9s,player_3
jc,2s,6c,7c,player_1
jh,4h,2h,5h,player_1
10c,4d,3c,2c,player_1
10d,ad,kd,7d,player_2
8c,5d,2d,3d,player_1
6h,8d,3s,4s,player_1
5s,js,6d,8s,player_2
5c,9d,jd,6s,player_1
4c,10s,qd,7s,player_1
ks,5s,qs,as,player_4
kc,ac,8c,jc,player_2
qc,10c,6c,5c,player_1
qh,kh,ah,jh,player_3
10h,6h,3d,4h,player_1
9h,2s,3c,2h,player_1
8h,3s,4d,2d,player_1
7c,9c,5d,4c,player_2
7s,4s,9s,js,player_4
7h,6d,7d,2c,player_1
6s,8d,8s,10s,player_4
5h,9d,qd,10d,player_1
3h,ad,kd,jd,player_1
kc,10c,ac,qc,player_3
qs,ks,as,2d,player_3
js,9s,8s,4c,player_1
10s,7s,2h,4h,player_1
9c,3c,5c,jc,player_4
9h,5h,ah,kh,player_3
8h,3s,qh,jh,player_3
8d,qd,ad,kd,player_3
7c,4s,3h,8c,player_4
7d,6d,10d,jd,player_4
3d,4d,9d,5d,player_3
2s,6s,7h,6h,player_2
2c,5s,10h,6c,player_4
kc,ac,qc,7c,player_2
ks,js,as,7s,player_3
kh,ah,9h,3h,player_2
qs,10s,5s,6s,player_1
jc,2h,10c,5c,player_1
10h,qh,4h,2s,player_2
9s,8s,2c,4s,player_1
9c,6h,8c,4c,player_1
8d,qd,6d,ad,player_4
8h,jh,3d,3c,player_2
5h,7h,4d,10d,player_2
3s,7d,5d,jd,player_1
2d,9d,6c,kd,player_4
ah,7h,6h,5h,player_1
kh,4h,2s,3s,player_1
qh,2h,2c,4d,player_1
jh,3c,2d,4c,player_1
10h,7s,5s,5c,player_1
10s,as,ks,8s,player_2
9h,8c,5d,7c,player_1
9d,ad,qd,kd,player_2
8h,9s,6d,7d,player_1
6c,kc,10c,ac,player_4
4s,qs,js,8d,player_2
3d,jc,jd,10d,player_3
3h,qc,6s,9c,player_1
ah,qh,9h,kh,player_1
ks,2d,8s,as,player_4
qs,3c,6s,js,player_1
jh,10h,7h,8h,player_1
10s,4d,2s,7s,player_1
9s,4c,3d,5s,player_1
8d,ad,10d,qd,player_2
6d,kd,9d,jd,player_2
5c,ac,qc,9c,player_2
4s,6c,5h,3h,player_1
3s,7d,5d,4h,player_1
2c,kc,jc,8c,player_2
2h,10c,7c,6h,player_4
ac,kc,qc,jc,player_1
ad,qd,kd,jd,player_1
10c,9c,7c,6c,player_1
10d,7d,3d,2d,player_1
9d,6d,3s,2h,player_1
9h,kh,10h,ah,player_4
8d,2c,4s,3h,player_1
7s,10s,as,ks,player_3
6s,2s,qs,js,player_3
5d,7h,5s,4c,player_1
4d,8c,5h,6h,player_1
4h,qh,5c,jh,player_2
3c,8h,8s,9s,player_1
ac,jc,10c,qc,player_1
ks,as,10s,5s,player_2
kc,5c,8c,9c,player_1
qs,js,9s,2s,player_1
qd,10d,ad,kd,player_3
jd,2d,8d,7d,player_1
9d,2h,6d,5d,player_1
7h,kh,ah,10h,player_3
6s,7s,8s,2c,player_3
4c,3h,3s,7c,player_4
4s,4h,3d,6h,player_1
4d,9h,5h,6c,player_1
3c,jh,qh,8h,player_1
ah,qh,jh,kh,player_1
kc,ac,qc,jc,player_2
qs,as,js,ks,player_2
9h,10h,2h,8h,player_2
8d,qd,kd,ad,player_4
7h,3d,2c,6h,player_1
7d,10d,9d,jd,player_4
4s,3c,9s,10s,player_4
4h,4d,5d,5h,player_4
3s,6c,8s,7s,player_3
3h,6d,5c,4c,player_1
2d,7c,9c,5s,player_1
2s,8c,10c,6s,player_4
ac,kc,4c,qc,player_1
qh,ah,10h,jh,player_2
10c,2d,3c,jc,player_4
10s,ks,as,9s,player_3
8c,3s,2s,9c,player_4
8h,kh,6h,4h,player_2
7c,3h,3d,2c,player_1
7h,9h,4s,5s,player_2
6c,4d,6s,6d,player_1
5d,ad,10d,kd,player_2
5c,js,7d,7s,player_1
5h,jd,8s,8d,player_1
2h,qd,qs,9d,player_1
ac,4c,10c,qc,player_1
kd,6d,9d,ad,player_4
kc,3c,9c,6c,player_1
kh,ah,qh,jh,player_2
ks,js,qs,as,player_4
jd,3d,8d,qd,player_4
jc,3s,8c,2s,player_1
10d,5h,7d,2d,player_1
5d,6s,4d,4s,player_1
4h,10h,8h,9h,player_2
3h,6h,5s,7h,player_4
2c,8s,7c,7s,player_3
2h,10s,5c,9s,player_1
kc,qc,ac,5c,player_3
jc,8c,6c,2s,player_1
js,8s,10s,as,player_4
10c,7c,3c,2d,player_1
9c,4c,3h,3d,player_1
9h,kh,ah,4d,player_3
8h,6h,qh,5d,player_3
7h,4h,jh,6d,player_3
7s,6s,9s,ks,player_4
7d,ad,qd,jd,player_2
5s,3s,5h,qs,player_4
4s,2h,8d,9d,player_1
2c,kd,10h,10d,player_1
ad,jd,kd,9d,player_1
kc,ac,qc,9c,player_2
qd,2d,7d,8d,player_1
qs,ks,js,as,player_4
10d,3h,4d,5d,player_1
9h,ah,jh,kh,player_2
8c,7c,jc,2h,player_3
7s,6s,4s,10s,player_4
6d,4h,3c,3d,player_1
5h,8h,7h,qh,player_4
3s,5s,5c,9s,player_4
2c,4c,10c,8s,player_3
2s,6h,6c,10h,player_1
as,js,qs,8s,player_1
ks,9s,5s,7s,player_1
kd,qd,ad,9d,player_3
qc,ac,8c,10c,player_2
10s,2d,3s,6s,player_1
9c,kc,4c,7c,player_2
8d,3d,jd,4d,player_3
7d,4h,10d,2c,player_3
6h,ah,jh,kh,player_2
5d,5c,6d,2s,player_3
4s,6c,7h,3c,player_1
3h,10h,9h,qh,player_4
2h,jc,8h,5h,player_3
ah,qh,jh,kh,player_1
kc,ac,qc,10c,player_2
jc,9c,5c,3c,player_1
10d,kd,qd,ad,player_4
9s,as,js,ks,player_2
8s,qs,3s,4s,player_2
8c,7c,4c,2c,player_1
7s,10s,2s,2d,player_2
6h,7h,10h,9h,player_3
6s,3d,2h,4h,player_1
5h,6c,8h,5d,player_3
5s,7d,4d,6d,player_1
3h,jd,8d,9d,player_1
ac,10c,kc,jc,player_1
kh,ah,qh,10h,player_2
qc,9c,7c,6c,player_1
jh,9h,5c,2h,player_1
9d,3d,kd,ad,player_4
9s,as,ks,js,player_2
8s,5s,qs,4s,player_3
8d,3c,qd,jd,player_3
7h,8h,6s,2s,player_2
6h,5h,7s,2c,player_1
5d,3h,10d,6d,player_3
4c,8c,7d,3s,player_2
2d,4h,10s,4d,player_4
as,6s,qs,10s,player_1
ks,3s,8s,9s,player_1
kh,ah,qh,6h,player_2
qd,ad,jd,kd,player_2
js,2s,4s,2h,player_1
10c,3c,kc,ac,player_4
9c,3d,qc,8c,player_3
7h,jh,9h,3h,player_2
7s,4d,5c,2d,player_1
5s,5h,6d,6c,player_1
4c,5d,jc,7c,player_3
4h,10h,8h,8d,player_2
2c,10d,7d,9d,player_1
ad,5d,qd,kd,player_1
as,ks,js,10s,player_1
qs,9s,4s,7s,player_1
jc,qc,7c,ac,player_4
10d,6c,jd,6d,player_3
9d,6s,3d,3h,player_1
8d,6h,2d,4c,player_1
7d,8s,2h,5h,player_1
5s,8h,3c,5c,player_1
4d,8c,4h,10h,player_1
3s,9c,7h,qh,player_1
2s,10c,9h,kh,player_1
2c,ah,jh,kc,player_4
ks,8s,as,qs,player_3
qd,9d,jd,ad,player_4
10c,kc,qc,ac,player_4
10h,8h,qh,ah,player_4
9c,jc,5c,6c,player_2
8c,7c,4c,3c,player_1
7d,8d,10d,kd,player_4
7h,4h,6h,kh,player_4
5h,2c,3h,jh,player_4
4s,7s,js,10s,player_3
4d,5d,6d,2d,player_3
