player_1,player_2,player_3,player_4,winner
ah,9h,kh,jh,player_1
kc,8c,jc,ac,player_4
qh,2h,10h,6h,player_1
qc,7c,2c,9c,player_1
jd,kd,qd,ad,player_4
js,7s,ks,as,player_4
10c,5c,2d,6c,player_1
4s,4c,10s,qs,player_4
4h,4d,8h,5s,player_3
3d,10d,7d,8d,player_2
3s,5d,3h,9s,player_4
3c,6d,5h,6s,player_1
2s,9d,7h,8s,player_4
ks,js,as,10s,player_3
kh,7h,10h,ah,player_4
qs,2d,9s,8s,player_1
qc,7c,ac,10c,player_3
jc,4c,kc,2h,player_3
9c,3c,8c,4s,player_1
6c,3d,3h,6s,player_1
5s,4h,7s,6h,player_3
5h,4d,8h,qh,player_4
5c,6d,5d,7d,player_1
3s,8d,10d,9h,player_1
2c,9d,qd,jh,player_1
2s,ad,kd,jd,player_1
ad,9d,kd,8d,player_1
jd,6d,qd,7d,player_3
jc,8c,qc,ac,player_4
10d,5d,3h,3d,player_1
10c,4c,7c,kc,player_4
8h,ah,10h,qh,player_2
6h,kh,9h,2s,player_2
5h,jh,5s,3s,player_2
4d,4h,6c,4s,player_1
3c,7h,7s,9c,player_4
2c,8s,9s,5c,player_4
2h,qs,10s,6s,player_1
2d,ks,js,as,player_1
kd,jd,7d,ad,player_4
kh,2c,10h,ah,player_4
qs,as,9s,10s,player_2
qh,4s,7h,9h,player_1
jh,5s,3h,6h,player_1
js,ks,7s,2s,player_2
9d,10d,5d,qd,player_4
8h,7c,3d,5h,player_1
6d,8c,4d,8d,player_4
5c,ac,jc,9c,player_2
3s,8s,6s,3c,player_2
2h,qc,6c,4h,player_4
2d,kc,10c,4c,player_1
ah,10h,qh,kh,player_1
as,10s,ks,js,player_1
kd,ad,6d,jd,player_2
qs,8s,9s,5s,player_1
qc,9c,kc,ac,player_4
qd,10d,2s,7d,player_1
jh,3d,9h,2h,player_1
10c,6c,jc,8c,player_3
8h,4s,6h,2c,player_1
7c,5c,4c,3c,player_1
7h,7s,5h,3s,player_1
4h,8d,3h,4d,player_1
2d,9d,6s,5d,player_2
kh,ah,qh,2h,player_2
kc,ac,7c,jc,player_2
qc,8c,2d,3c,player_1
10s,9s,ks,as,player_4
10c,2c,3s,2s,player_1
9c,3h,4d,4s,player_1
6c,4h,6s,5d,player_1
6h,10h,jh,6d,player_3
5c,7s,7d,9d,player_1
5h,8h,9h,jd,player_3
5s,8d,8s,qs,player_4
4c,10d,7h,js,player_1
3d,ad,kd,qd,player_2
kc,jc,ac,9c,player_3
kh,qh,9h,ah,player_4
js,as,6s,ks,player_2
10d,kd,ad,qd,player_3
10c,6c,qc,2s,player_3
10h,jh,8h,7h,player_2
9s,10s,4s,qs,player_4
8c,2h,5c,3d,player_1
8d,9d,5d,jd,player_4
7c,3s,4c,4h,player_1
4d,7d,3h,5s,player_2
2d,6d,3c,7s,player_2
2c,6h,5h,8s,player_1
ah,kh,10h,jh,player_1
ad,10d,4d,qd,player_1
kd,7d,2s,9d,player_1
qc,kc,ac,10c,player_3
qs,4s,9s,as,player_4
js,3s,3h,ks,player_4
jc,8c,9c,6c,player_1
jd,6d,3c,2h,player_1
10s,2d,4c,8s,player_1
9h,qh,6h,7h,player_2
8d,3d,4h,2c,player_1
6s,7c,5c,7s,player_4
5d,8h,5h,5s,player_1
