player_1,player_2,player_3,player_4,winner
4497,16351,1307,13490,1
14094,19369,11829,5107,4
22431,9551,17922,27589,2
26971,2060,32910,17045,1
21625,35819,6726,23851,2
23133,10382,38202,14800,2
36654,18701,11118,24704,3
28282,2910,15553,29179,2
37420,12627,29894,26207,4
8195,31476,35159,714,1
25340,5959,7303,34380,4
20091,32084,38825,33606,4
20911,3574,30527,8893,1
14169,5172,17239,11782,2
10496,21746,20956,35811,4
26784,38882,7289,32938,1
16373,4483,13410,26145,2
34358,29776,597,20113,1
32196,33661,1333,12734,4
8995,24619,37281,15720,1
28290,38083,25290,23980,4
8248,2025,36528,23197,4
35076,3715,17978,9668,4
29087,27730,30712,6719,1
14776,31434,18683,2971,4
19494,5999,11072,22299,4
21708,35907,23117,23968,2
18572,36608,17896,9573,4
11884,34315,5134,17087,3
12743,13318,16343,4355,4
30596,27711,22401,11165,3
2925,6720,28327,10395,4
32239,26051,20935,1499,2
8980,33667,25416,20070,2
3612,14866,5991,31327,1
29227,37282,19400,8247,2
29794,7310,14040,32950,3
24525,38070,2170,35211,1
15673,604,26776,38876,1
5058,11893,7462,26794,1
35853,38081,21630,23955,1
14153,727,20076,17103,1
17823,22334,36691,9599,4
18727,31400,3690,11118,4
34296,27732,19401,20824,1
2912,2171,23186,10289,4
32808,24555,8042,15597,1
8886,16309,26038,4375,4
38800,35222,1341,30686,1
29915,29117,5832,33721,1
14856,37422,6724,12736,3
25380,32033,28348,13401,1
5093,34466,14231,26921,1
23922,23162,35995,10328,3
13406,4361,12650,26125,2
21669,28313,6690,2818,1
16275,8866,33622,32036,1
2238,38151,14966,20105,2
8175,20962,29935,1348,1
29074,38949,37497,5981,3
19322,17930,22303,9624,4
25482,32858,35046,17220,4
24576,7441,31321,623,1
15702,36563,3608,18581,1
27700,11059,30659,11948,2
35991,23902,6549,21722,1
22435,11227,17813,9566,4
17028,11892,14214,5154,4
12622,32136,13494,4406,4
18677,5842,30741,36634,1
2779,10398,2159,23052,2
34465,662,32801,26811,4
8979,1329,16383,26135,4
3561,19410,35160,31405,1
38799,8191,7317,25422,3
14927,28484,20084,15641,2
24532,37376,29143,33713,4
20809,38204,29795,27691,3
35916,10417,23981,2877,1
9730,18633,17902,22389,1
23055,28332,21535,6700,3
11940,17092,5228,26873,3
34451,32866,14137,7360,3
5876,35028,30589,11126,4
37393,26053,16330,4372,4
38992,20882,31351,581,4
29204,33569,12589,13405,4
29954,24563,1471,27552,1
25467,8152,3642,15696,1
14897,38026,32116,20040,2
19431,2193,36692,8888,3
4442,1334,13309,12708,1
9617,22299,17813,11188,1
17109,26816,14242,5183,4
33576,14996,26098,32215,3
34456,25490,702,11815,4
32775,8078,38858,7477,1
5794,18735,3695,36672,2
37382,2209,16416,24738,3
29124,38132,8827,15653,3
35168,30741,20078,31319,2
19467,28370,6612,29945,1
27663,21608,2816,10402,1
20925,35851,23125,23840,1
17840,22330,30749,9660,4
10426,35949,23989,2108,2
26233,12679,4451,32201,3
16375,8955,13402,37437,3
11116,18542,19454,24686,1
33714,1478,27730,29148,1
36684,3642,20778,14961,1
587,5028,34467,14243,2
38180,23171,21560,8207,3
31491,5918,25282,29851,2
35248,6700,38861,7364,1
20247,32921,28397,11775,1
