player_1,player_2,player_3,player_4,winner
5205,14083,34291,26777,1
11035,22356,9584,29857,3
30630,36682,17786,2227,3
32965,11864,7457,17061,4
5955,27665,18595,38863,3
569,25488,20947,8814,1
37409,26074,1486,4427,4
31302,20033,3636,32113,3
29057,33622,19291,13434,4
8213,23961,10286,35820,4
14906,21742,28348,2778,2
24693,6620,35133,16450,4
15670,23043,38232,12722,2
9573,36585,22317,5920,1
13434,4421,32134,37484,2
23796,35799,10402,23212,2
17817,3552,11193,31305,1
26116,12534,20955,20161,1
16357,8834,14969,19318,1
18545,24567,30701,25290,1
33614,1285,8218,38073,1
6526,28283,21710,32967,3
554,34372,26816,5077,4
35145,29878,38918,11818,1
15694,29036,2777,17173,3
27623,7478,2204,14096,1
11120,9527,18557,22355,2
30707,17918,19406,36526,2
33630,12661,32065,4473,4
34411,14175,26946,5121,4
32867,11887,17122,29913,3
28301,35930,23987,10428,2
5820,25463,20809,3583,4
31474,14891,38779,15662,1
29166,8849,1423,13315,4
35207,8196,7417,37428,1
24695,697,6744,26175,4
27645,38112,2849,2086,1
20192,23205,21731,16471,4
5228,11947,7380,14175,1
35909,6561,23896,23087,1
22449,9721,17919,27680,2
26106,4396,20206,13329,2
10316,28416,21545,24551,1
17142,25433,38863,26975,4
18553,30532,11146,29854,3
12744,37357,20816,16290,4
34336,15706,35051,629,1
32893,14869,5844,29047,1
32103,8141,3584,33536,4
31321,2128,36745,1419,3
19459,38152,2944,8904,1
4457,16340,26176,13370,1
14150,5197,26804,17045,2
22276,18676,9705,11091,3
2776,23980,35800,28365,3
32871,7353,629,11964,4
6698,10476,23161,20958,2
3662,14831,17954,30555,3
1298,33657,15572,12558,4
38048,21536,19390,25444,2
2105,24632,35218,29837,1
8077,29168,31477,38945,1
27576,37360,36733,32173,3
20046,8833,5807,34325,2
5230,25438,34340,14206,1
13456,26221,4463,8898,3
26980,27636,668,17224,1
16485,12602,1406,37455,1
21558,2044,35801,23955,3
11962,14934,20925,32955,1
36577,22311,9581,17913,3
5929,30584,3530,11130,4
38907,24713,29185,7295,4
29825,35202,8082,38109,1
19355,31367,2866,18701,4
15598,32226,10315,6565,3
20036,33676,23215,28458,2
5122,14201,29958,26834,1
22325,17919,3593,9655,4
11163,24739,31358,30549,1
18644,694,19360,36632,1
11798,17243,25467,32891,2
34418,32074,27544,7428,1
28318,23795,35809,8196,3
8800,26083,13333,4495,4
38872,6712,2174,14896,1
29164,2984,16382,1487,3
20827,23215,38182,35096,1
20033,21647,12534,37400,3
15730,10387,33558,5920,2
14225,5058,38955,29835,2
10438,6746,35873,21574,3
17113,26916,27722,14925,2
11108,17976,9618,22395,3
11799,34365,24601,35072,1
23172,15695,23806,2944,3
30544,3548,18599,31277,3
36727,19307,5934,1419,1
32777,7284,2099,38157,1
28314,25434,37345,32144,1
8247,29057,33537,12649,1
20234,8836,4482,13360,3
20939,728,16368,26086,2
