puzzle,label
2589 _ _ 1305 _ _ 377 _ _ 3534 _ _ 566 _ _ 3425,valid
_ 297 _ _ 408 _ _ 3466 4091 _ _ 1583 _ _ 1223 _,invalid
_ _ 210 3010 _ _ 808 _ _ 3404 _ _ 259 2482 _ _,invalid
_ _ 3843 _ _ 158 _ 342 1506 _ 2824 _ _ 3089 _ _,valid
_ _ _ 2455 _ 2240 _ _ _ _ 3312 _ 2337 _ _ _,valid
3330 _ 2035 _ _ _ _ _ _ _ _ _ _ 3243 _ 2124,valid
2049 _ _ 796 _ _ 527 _ _ 347 _ _ 2234 _ _ 3541,valid
_ 1591 _ _ 1700 159 _ _ _ _ 1469 1591 _ _ 2037 _,invalid
_ _ 238 _ 2917 _ _ _ _ _ _ 3977 _ 2785 _ _,valid
1242 _ _ _ 2650 _ _ _ _ _ _ 3292 _ _ _ 897,valid
_ 2985 874 _ _ _ _ 268 172 _ _ _ _ 2845 3864 _,invalid
_ 429 _ _ 3332 _ _ 3300 3962 _ _ 2266 _ _ 1305 _,invalid
2964 _ _ _ 3893 1492 _ _ _ _ 3302 512 _ _ _ 2405,valid
_ 3793 _ _ _ _ 231 _ _ 954 _ _ _ _ 3978 _,invalid
_ _ _ 3774 2052 _ _ 980 1852 _ _ 1001 448 _ _ _,valid
1553 1514 _ _ _ 3784 _ _ _ _ 1067 _ _ _ 3341 1022,valid
_ _ 3424 2834 _ _ 3899 _ _ 2820 _ _ 3707 1027 _ _,valid
_ 2292 1387 _ _ _ _ 3115 1878 _ _ _ _ 785 1772 _,invalid
_ _ _ 2529 1877 _ _ _ _ _ _ 1802 1514 _ _ _,invalid
_ 14 _ 1906 _ _ _ _ _ _ _ _ 413 _ 1728 _,valid
_ _ _ _ 1085 3508 _ 3701 139 _ 3335 1346 _ _ _ _,valid
1172 _ _ 280 _ 426 _ _ _ _ 1969 _ 464 _ _ 1057,invalid
_ _ _ 2445 _ _ _ 3724 562 _ _ _ 2185 _ _ _,valid
4008 _ _ _ _ _ _ 2500 3082 _ _ _ _ _ _ 36,invalid
_ _ 2675 _ 4058 _ _ 1021 3192 _ _ 2700 _ 4087 _ _,invalid
2141 2088 _ _ _ _ _ _ _ _ _ _ _ _ 2055 1280,valid
2777 _ _ 825 _ 2392 _ _ _ _ 1865 _ 673 _ _ 3440,valid
_ _ _ _ 866 358 _ _ _ _ 1561 2644 _ _ _ _,valid
2673 _ _ 586 _ _ 2805 _ _ 418 _ _ 3907 _ _ 1660,invalid
_ 996 3847 _ _ _ _ 1855 2418 _ _ _ _ 686 3528 _,valid
_ _ 488 _ _ 2885 _ _ _ _ 2428 _ _ 3416 _ _,valid
_ 1079 _ 190 _ _ _ _ _ _ _ _ 517 _ 1568 _,valid
1976 _ _ _ _ 3883 956 _ _ 3641 4063 _ _ _ _ 1244,invalid
625 _ _ _ _ 1814 _ 1139 1224 _ 2872 _ _ _ _ 2927,invalid
2692 1862 _ _ _ 2913 _ _ _ _ 721 _ _ _ 1866 560,valid
3453 1051 3769 _ _ _ _ _ _ _ _ _ _ 4098 2754 2359,invalid
_ _ _ _ _ 1188 _ 2072 2290 _ 723 _ _ _ _ _,invalid
2092 _ _ 391 _ _ 2350 _ _ 890 _ _ 3890 _ _ 2964,invalid
_ 2661 _ _ 2630 1946 _ _ _ _ 2180 1602 _ _ 2745 _,valid
_ 2350 _ _ _ _ 2956 _ _ 4121 _ _ _ _ 3678 _,valid
_ 3259 _ _ _ 954 _ _ _ _ 915 _ _ _ 2044 _,valid
_ 3181 _ _ _ _ 393 _ _ 1282 _ _ _ _ 3133 _,invalid
_ _ 3932 _ _ 37 _ 3087 3463 _ 415 _ _ 231 _ _,valid
433 _ _ _ _ _ _ 2454 93 _ _ _ _ _ _ 1096,valid
_ _ _ _ _ 2857 _ 1950 2086 _ 375 _ _ _ _ _,valid
_ _ _ 2875 654 _ _ _ _ _ _ 905 3341 _ _ _,invalid
3167 _ 319 _ _ 697 _ _ _ _ 2443 _ _ 689 _ 2035,valid
1546 _ _ _ 785 1783 _ _ _ _ 2885 711 _ _ _ 228,invalid
_ 666 3055 _ _ _ _ 3171 1373 _ _ _ _ 33 3464 _,valid
965 _ _ 165 _ _ 3654 _ _ 4120 _ _ 981 _ _ 2139,valid
1884 _ 3984 _ _ _ _ _ _ _ _ _ _ 2262 _ 759,valid
3253 _ _ _ 1965 936 _ _ _ _ 3528 1566 _ _ _ 2000,invalid
3136 _ _ _ _ _ _ 1062 4086 _ _ _ _ _ _ 3887,invalid
_ _ 3985 _ _ _ 3242 2806 3338 685 _ _ _ 3037 _ _,invalid
_ _ _ 3565 4134 _ _ _ _ _ _ 2388 3806 _ _ _,invalid
3242 _ _ _ _ _ _ 2875 243 _ _ _ _ _ _ 3693,invalid
763 3949 _ 3422 _ _ _ _ _ _ _ _ 2408 _ 126 2172,invalid
_ _ _ 3718 _ 657 3736 _ _ 2368 806 _ 1356 _ _ _,invalid
2897 3472 _ _ _ 1726 _ _ _ _ 3289 _ _ _ 1790 562,invalid
711 _ _ 973 _ 89 _ _ _ _ 1077 _ 534 _ _ 1788,valid
995 _ _ _ _ 2178 2630 _ _ 338 2188 _ _ _ _ 2665,invalid
49 _ _ 3226 _ 568 _ _ _ _ 2157 _ 4039 _ _ 1952,invalid
_ _ _ 3403 _ 2410 3734 _ _ 1773 711 _ 3838 _ _ _,valid
_ _ _ _ _ _ 259 176 3812 1987 _ _ _ _ _ _,valid
_ 3283 449 _ _ _ _ 3317 1490 _ _ _ _ 3503 168 _,invalid
_ _ 982 _ 3010 _ _ 1407 3760 _ _ 2165 _ 1638 _ _,valid
2082 1170 _ _ _ 3032 _ _ _ _ 2870 _ _ _ 2689 1001,invalid
_ 4041 _ _ 2780 _ 3470 _ _ 95 _ 57 _ _ 1881 _,valid
_ 718 _ _ 875 _ _ 2545 3153 _ _ 2043 _ _ 3210 _,valid
_ _ 2425 _ 2657 _ _ 428 1112 _ _ 935 _ 849 _ _,invalid
_ _ _ _ 259 3586 1917 _ _ 3660 244 3090 _ _ _ _,valid
1808 1440 _ _ 4040 _ _ _ _ _ _ 853 _ _ 1568 3929,valid
_ 3805 _ _ 1132 2196 _ _ _ _ 2505 1442 _ _ 37 _,valid
_ _ _ 386 _ _ 2604 3266 2316 647 _ _ 3905 _ _ _,invalid
_ 1676 1707 _ _ 1723 _ _ _ _ 466 _ _ 3304 2061 _,invalid
1094 711 _ 1840 _ _ _ _ _ _ _ _ 3769 _ 1366 2266,invalid
_ _ _ 3078 2830 _ _ _ _ _ _ 3250 3049 _ _ _,valid
_ _ 3451 _ _ 628 _ _ _ _ 3945 _ _ 3836 _ _,valid
_ _ 949 _ _ 3945 _ _ _ _ 4024 _ _ 2290 _ _,valid
2990 _ _ 965 _ 3004 _ _ _ _ 3531 _ 172 _ _ 1702,valid
1044 _ _ 1565 _ _ 2257 _ _ 261 _ _ 345 _ _ 634,invalid
_ _ 90 _ _ _ 1828 186 1077 442 _ _ _ 3019 _ _,invalid
3616 _ _ _ _ _ _ 1925 2163 _ _ _ _ _ _ 3660,valid
_ _ _ _ _ 666 2688 576 1721 299 3473 _ _ _ _ _,valid
_ 1853 _ _ _ 3581 _ _ _ _ 1391 _ _ _ 2388 _,valid
