puzzle,label
3724 _ _ _ _ _ _ 2222 2004 _ _ _ _ _ _ 2089,valid
_ _ 425 _ 1512 _ _ _ _ _ _ 1380 _ 108 _ _,valid
_ _ _ _ 2539 _ 3232 257 1960 2514 _ 1571 _ _ _ _,invalid
_ _ _ 2861 1196 _ _ _ _ _ _ 2570 2802 _ _ _,invalid
_ _ _ _ _ 353 _ 3437 1443 _ 2842 _ _ _ _ _,valid
_ _ 3144 _ _ 1994 _ _ _ _ 840 _ _ 1936 _ _,invalid
_ 3806 264 _ _ _ _ 2375 745 _ _ _ _ 4093 180 _,valid
_ _ 978 _ _ _ 2882 2344 1021 2377 _ _ _ 3155 _ _,valid
3762 3752 _ _ 423 _ _ _ _ _ _ 3690 _ _ 1824 2423,valid
_ 1573 1847 _ 749 _ _ _ _ _ _ 3263 _ 3685 2846 _,invalid
_ 1980 _ _ _ _ 810 _ _ 3386 _ _ _ _ 557 _,invalid
314 _ _ 1374 _ 81 _ _ _ _ 2479 _ 1994 _ _ 454,invalid
2806 _ _ 713 _ _ 719 _ _ 1739 _ _ 1510 _ _ 2456,invalid
_ _ _ 331 _ _ 1256 1089 3965 1600 _ _ 248 _ _ _,valid
_ _ 1138 _ _ 3922 _ 1857 2989 _ 1688 _ _ 2184 _ _,valid
_ 2927 _ _ _ _ 3255 _ _ 1585 _ _ _ _ 905 _,invalid
108 504 _ _ 3169 _ _ _ _ _ _ 1303 _ _ 2102 1822,invalid
_ _ _ 3489 _ _ 2997 4150 2149 1882 _ _ 2003 _ _ _,valid
_ _ _ 3662 _ 1827 1248 _ _ 3662 3105 _ 2254 _ _ _,invalid
_ _ _ _ 2595 _ 297 _ _ 2812 _ 750 _ _ _ _,invalid
_ _ _ _ 653 2577 _ _ _ _ 2459 444 _ _ _ _,valid
_ _ 1541 707 _ _ 0 _ _ 1052 _ _ 3733 468 _ _,invalid
_ 3969 3243 _ _ _ _ 1741 2063 _ _ _ _ 1914 1100 _,invalid
_ _ _ _ _ _ 1170 1417 955 4104 _ _ _ _ _ _,valid
1904 _ _ 1574 _ 4080 _ _ _ _ 2325 _ 2354 _ _ 88,valid
1757 _ _ _ _ _ 2683 _ _ 3618 _ _ _ _ _ 206,valid
_ 647 _ _ 2009 _ _ 3887 2311 _ _ 49 _ _ 3485 _,valid
583 _ 1663 3193 _ _ _ _ _ _ _ _ 629 714 _ 1378,invalid
_ _ 819 _ 1946 _ _ 3475 3152 _ _ 4091 _ 4023 _ _,invalid
3466 _ 1927 _ _ _ _ _ _ _ _ _ _ 2128 _ 2622,valid
2598 3386 _ _ 1345 _ _ _ _ _ _ 3130 _ _ 2864 1326,valid
1223 _ _ 2635 _ _ 3270 _ _ 2017 _ _ 251 _ _ 317,invalid
1518 _ _ _ _ 4043 1712 _ _ 3965 3077 _ _ _ _ 2348,invalid
1530 _ 3241 _ _ _ _ _ _ _ _ _ _ 2961 _ 1189,invalid
_ _ 141 _ _ 1313 _ _ _ _ 1281 _ _ 3739 _ _,invalid
_ _ 784 _ _ _ 1321 2344 1950 951 _ _ _ 3869 _ _,invalid
1173 _ _ 2593 _ 272 _ _ _ _ 1440 _ 2276 _ _ 2699,invalid
2106 _ _ _ 905 3870 _ _ _ _ 444 2664 _ _ _ 3252,invalid
_ _ _ 2034 _ 322 998 _ _ 589 2636 _ 3974 _ _ _,invalid
_ 1560 _ _ 2458 2972 _ _ _ _ 508 1020 _ _ 765 _,invalid
_ _ _ 2745 _ 1932 2401 _ _ 3544 2664 _ 2175 _ _ _,valid
2355 _ _ 335 _ 1567 _ _ _ _ 853 _ 1970 _ _ 2881,valid
_ _ 1228 _ _ 230 _ _ _ _ 2056 _ _ 304 _ _,invalid
_ _ 1401 396 _ _ 2693 _ _ 620 _ _ 4013 2137 _ _,invalid
_ 3728 1676 _ _ 552 _ _ _ _ 3325 _ _ 182 687 _,valid
_ _ 1339 _ _ 3678 _ _ _ _ 157 _ _ 1849 _ _,invalid
_ 2450 _ 3924 _ _ _ _ _ _ _ _ 2000 _ 2413 _,valid
_ _ _ 1125 _ _ 3169 2655 375 2290 _ _ 3344 _ _ _,valid
_ _ 501 _ _ 3561 _ 4018 3622 _ 508 _ _ 508 _ _,invalid
_ _ _ 1187 3576 _ _ 2175 3018 _ _ 2353 3161 _ _ _,invalid
_ 1814 _ _ _ 1407 _ _ _ _ 467 _ _ _ 3111 _,valid
_ 2693 _ _ _ _ 123 _ _ 3809 _ _ _ _ 1311 _,valid
_ 2941 _ _ 1129 _ _ 3146 6 _ _ 3341 _ _ 948 _,valid
_ 3384 _ _ 2153 _ _ 972 1417 _ _ 4002 _ _ 1669 _,invalid
676 1426 _ _ _ 167 _ _ _ _ 609 _ _ _ 3149 955,invalid
_ _ 3086 _ _ 102 _ _ _ _ 960 _ _ 4043 _ _,valid
998 _ _ 3781 _ _ _ 2138 4039 _ _ _ 1051 _ _ 3533,invalid
_ _ _ 2170 1215 _ 1840 _ _ 3837 _ 825 1855 _ _ _,invalid
_ 4138 _ _ _ 3824 357 _ _ 1201 2460 _ _ _ 1732 _,valid
2910 _ _ _ _ 3291 4132 _ _ 3899 3186 _ _ _ _ 2850,invalid
_ _ _ _ 2969 _ 2036 _ _ 966 _ 2954 _ _ _ _,invalid
_ 2279 _ 449 _ _ _ _ _ _ _ _ 1476 _ 377 _,invalid
927 _ _ _ _ 1591 2216 _ _ 1196 2117 _ _ _ _ 2572,invalid
1349 _ _ 3144 _ 1030 _ _ _ _ 3075 _ 3058 _ _ 2167,valid
_ _ 2567 829 _ _ _ 862 2940 _ _ _ 396 1977 _ _,valid
_ _ 3720 _ _ _ 126 2112 1278 811 _ _ _ 1913 _ _,invalid
_ _ _ _ 1621 _ 2449 _ _ 3170 _ 62 _ _ _ _,valid
3108 _ _ _ _ 2103 _ 751 1658 _ 262 _ _ _ _ 3414,valid
3613 _ 3855 _ _ _ _ _ _ _ _ _ _ 51 _ 2170,invalid
_ 572 _ 1807 _ _ _ _ _ _ _ _ 368 _ 731 _,invalid
_ 1945 _ _ _ _ 374 _ _ 3970 _ _ _ _ 186 _,valid
_ _ _ _ 1622 _ 2549 2490 1665 867 _ 2932 _ _ _ _,invalid
800 _ 2168 _ _ _ _ _ _ _ _ _ _ 962 _ 3176,valid
_ 2411 _ _ _ _ _ 1424 2871 _ _ _ _ _ 616 _,valid
_ _ 3854 3505 _ _ 3078 _ _ 335 _ _ 3565 1782 _ _,valid
_ 4015 _ _ 604 _ _ 309 3690 _ _ 3346 _ _ 3589 _,invalid
_ 3853 3411 _ 3285 _ _ _ _ _ _ 2897 _ 889 2193 _,invalid
1836 _ _ 729 _ _ _ 2136 1546 _ _ _ 3541 _ _ 1590,invalid
1111 _ _ 2957 _ _ _ 1982 3629 _ _ _ 1251 _ _ 3013,valid
2172 2734 _ _ _ 2061 _ _ _ _ 3143 _ _ _ 290 3085,invalid
_ 3779 _ _ _ _ _ 2344 1202 _ _ _ _ _ 1811 _,valid
_ _ _ _ 3267 _ 1481 _ _ 3392 _ 3152 _ _ _ _,valid
_ _ _ _ _ _ 2549 1643 2187 278 _ _ _ _ _ _,valid
_ _ _ 3315 _ _ _ 1844 2321 _ _ _ 3295 _ _ _,valid
_ _ 2009 350 _ _ 1923 _ _ 38 _ _ 1735 241 _ _,invalid
_ 181 _ 3983 _ _ _ _ _ _ _ _ 3116 _ 3930 _,valid
4015 _ _ _ 3193 2984 _ _ _ _ 2776 1091 _ _ _ 711,invalid
_ 2896 _ _ _ _ 2750 _ _ 584 _ _ _ _ 556 _,invalid
2501 _ 3313 _ _ _ _ _ _ _ _ _ _ 4096 _ 2200,valid
1181 221 _ _ _ _ _ _ _ _ _ _ _ _ 2897 2598,valid
3692 _ _ _ _ 2667 183 _ _ 2326 2061 _ _ _ _ 2755,invalid
1208 _ _ 2752 _ 168 _ _ _ _ 1756 _ 758 _ _ 2004,valid
_ _ _ _ 724 3369 4121 _ _ 3992 1495 371 _ _ _ _,invalid
_ _ 1101 _ 3086 _ _ 1708 2522 _ _ 985 _ 816 _ _,invalid
_ _ _ _ 197 _ 3873 _ _ 3234 _ 3744 _ _ _ _,invalid
1046 _ _ 3787 _ 2841 _ _ _ _ 1481 _ 166 _ _ 293,invalid
_ _ 2973 _ _ _ 1568 _ _ 4063 _ _ _ 896 _ _,valid
_ 137 _ _ _ _ _ 2143 3786 _ _ _ _ _ 843 _,valid
_ _ _ _ _ 1129 2128 2093 2474 3576 784 _ _ _ _ _,valid
1346 _ _ 805 _ _ 1490 _ _ 3210 _ _ 3543 _ _ 2396,invalid
_ 2207 2797 _ 1300 _ _ _ _ _ _ 895 _ 3204 506 _,valid
1039 _ _ _ _ 453 2861 _ _ 4157 2862 _ _ _ _ 2481,invalid
_ 3688 3837 _ _ _ _ 1994 3380 _ _ _ _ 2991 1590 _,valid
